[2026-07-11 08:34:58,704: INFO: main: Starting the CNN Classifier application...]
[2026-07-12 16:01:23,612: INFO: main: Starting the CNN Classifier application...]
[2026-07-14 19:13:38,654: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-14 19:13:38,655: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-14 19:32:56,043: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-14 19:32:56,047: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-14 19:32:56,049: INFO: common: created directory at: artifacts]
[2026-07-14 19:32:56,052: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-14 19:32:56,054: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1xl2zHr4TNCJvkrxbIbQWB5YLHf3h0pMb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-14 19:37:35,343: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-14 19:37:35,345: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-14 19:37:35,346: INFO: common: created directory at: artifacts]
[2026-07-14 19:37:35,347: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-14 19:37:35,348: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1xl2zHr4TNCJvkrxbIbQWB5YLHf3h0pMb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-14 19:41:04,251: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-14 19:41:04,254: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-14 19:41:04,256: INFO: common: created directory at: artifacts]
[2026-07-14 19:41:04,258: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-14 19:41:04,259: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1xl2zHr4TNCJvkrxbIbQWB5YLHf3h0pMb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-14 19:53:15,948: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-07-14 19:53:15,951: INFO: common: yaml file: params.yaml loaded successfully]
[2026-07-14 19:53:15,953: INFO: common: created directory at: artifacts]
[2026-07-14 19:53:15,954: INFO: common: created directory at: artifacts/data_ingestion]
[2026-07-14 19:53:15,957: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1xl2zHr4TNCJvkrxbIbQWB5YLHf3h0pMb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-14 20:52:00,509: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1xl2zHr4TNCJvkrxbIbQWB5YLHf3h0pMb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
